id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade
475,Michaela,Bangs,Female,2,3,5,73,15,75,22
476,Bord,Wheal,Male,2,22,49,84,75,17,22
477,Verene,Cosgriff,Female,8,24,32,4,18,32,91
478,Samaria,Beggs,Female,10,12,28,6,22,8,72
479,Cleo,Durtnel,Female,1,23,42,22,72,55,34
480,Pavia,Lasseter,Female,2,19,49,84,39,92,62
481,Vasilis,Braithwait,Male,9,28,3,77,26,100,94
482,Lucienne,Burkinshaw,Female,8,11,5,13,11,50,30
483,Ebony,Skerrett,Female,1,29,2,100,93,97,97
484,Emera,Albany,Female,10,6,17,81,2,68,95
485,Indira,Solland,Female,7,12,50,88,69,15,92
486,Basilius,Toyer,Male,4,14,50,72,17,82,33
487,Nicolais,Mudge,Male,9,28,19,34,77,25,51
488,Katlin,Haryngton,Female,12,28,29,74,82,35,93
489,Elsinore,Lissaman,Female,10,28,15,72,19,59,3
490,Thorstein,Bricksey,Male,11,30,18,8,7,20,92
491,Lia,Egre,Female,2,24,28,100,10,59,99
492,Jackqueline,Charlo,Female,4,20,27,51,12,13,58
493,Aliza,Zannutti,Female,12,22,47,33,64,93,12
494,Horatius,Petkov,Male,2,23,35,55,75,85,84
495,Lezley,Garron,Male,10,8,43,45,25,9,12
496,Venus,Reisen,Female,10,10,11,49,63,71,77
497,Marcelo,O'Callaghan,Male,8,7,3,83,53,98,26
498,Vivyanne,Flello,Female,1,23,46,69,76,100,4
499,Hussein,Dockreay,Male,12,6,0,46,46,59,83
500,Sloan,Barkway,Male,12,9,28,14,33,96,43
501,Darbee,By,Male,11,19,39,90,97,21,66
502,Ashien,Cowely,Female,3,30,5,32,31,27,90
503,Kat,Dumphreys,Female,11,18,39,47,97,75,71
504,Kelcy,Beeck,Female,3,15,37,33,65,100,20
505,Benita,Samson,Female,2,15,39,49,16,11,29
506,Rolando,Mapledoram,Male,8,22,41,23,6,89,83
507,Ted,Routham,Male,8,8,19,88,48,92,58
508,Vallie,Enders,Female,12,6,19,91,30,1,24
509,Montague,Bates,Male,12,30,38,77,34,67,71
510,Farly,Bonnaire,Male,10,12,44,4,49,23,94
511,Samuel,Fiddyment,Male,12,2,21,84,46,65,93
512,Georgine,Jakab,Female,5,3,13,42,75,66,23
513,Shae,Stebbing,Female,10,16,31,17,20,1,64
514,Dolph,Loffel,Male,4,12,20,78,28,63,64
515,Gabi,Phonix,Female,3,7,32,73,14,86,8
516,Olag,Whiffen,Male,2,19,19,29,58,27,34
517,Merrily,Gascoine,Female,5,25,28,8,6,96,15
518,Matty,Cettell,Male,12,14,27,64,53,46,30
519,Genevieve,Inchan,Female,12,20,31,92,95,84,26
520,Gale,Shiel,Female,11,10,15,16,52,60,5
521,Chas,Jimmes,Male,11,19,25,81,72,10,28
522,Gerianna,Taplin,Female,11,5,32,19,44,30,37
523,Libbey,Robertshaw,Female,1,18,15,43,0,25,26
524,Robinetta,Chiechio,Female,1,24,0,5,87,60,25
525,Lek,Cassin,Male,1,0,30,30,39,92,23
526,Tirrell,Longwood,Male,3,28,14,81,11,30,63
527,Cos,Blaydon,Male,1,18,19,59,22,69,82
528,Hurleigh,Durdan,Male,1,26,44,57,45,73,37
529,Donni,Kernar,Female,10,21,1,75,96,9,17
530,Yoko,McNellis,Female,11,21,10,45,83,93,14
531,Nobe,Giacopini,Male,6,12,21,49,0,49,21
532,Tremayne,Tetla,Male,11,11,19,72,46,68,40
533,Lauren,Bruhn,Male,10,1,40,4,44,20,24
534,Devondra,Leijs,Female,7,6,32,5,56,35,49
535,Martie,Baudry,Female,2,0,6,34,5,53,6
536,Katharina,Delepine,Female,7,5,12,80,75,21,93
537,Martha,Tripp,Female,6,18,31,52,50,62,47
538,Angel,Rackham,Male,12,22,45,8,46,21,62
539,Kelly,Barrasse,Female,11,1,6,11,61,9,5
540,Shane,Powrie,Male,2,7,15,94,74,2,67
541,Cyrille,Dran,Male,10,18,39,27,69,94,24
542,Raffarty,Malletratt,Male,3,28,49,91,87,32,37
543,Ernesto,Connaughton,Male,1,10,30,80,4,96,95
544,Dasi,Downs,Female,5,21,3,10,3,13,82
545,Jere,Sedman,Female,11,30,36,96,10,84,6
546,Rayner,Burgett,Male,3,24,48,31,76,53,68
547,Yale,Cranidge,Male,10,28,34,84,33,50,17
548,Reinald,Warham,Male,10,23,31,88,52,100,62
549,Imelda,Oakton,Female,4,9,33,36,48,86,94
550,Stanislaus,Mainston,Male,4,21,35,3,45,91,90
551,George,Ludlamme,Male,7,26,20,6,2,94,94
552,Adelice,Carnegy,Female,11,20,41,27,95,46,41
553,Chiarra,Stratiff,Female,11,29,23,51,71,87,36
554,Filippa,Hoodlass,Female,12,21,4,16,76,79,45
555,Neile,Skein,Female,4,2,29,19,19,98,8
556,Grantham,Hawkin,Male,2,12,33,65,19,15,21
557,Sibby,Laise,Female,6,22,47,75,51,25,62
558,Lin,Leupold,Female,6,27,15,80,59,62,54
559,Maynard,Dougherty,Male,6,29,3,53,1,80,83
560,Ruben,Baumler,Male,7,14,24,63,66,50,73
561,Hewe,Helbeck,Male,7,13,24,56,90,41,39
562,Karissa,Halvosen,Female,4,24,27,46,83,89,97
563,Horton,Hover,Male,6,25,13,23,86,97,65
564,Auria,Cardenoso,Female,7,16,39,80,57,79,77
565,Latisha,McCowan,Female,11,30,27,82,68,76,90
566,Fraser,Gavey,Male,12,27,0,62,87,38,54
567,Willie,Lodevick,Female,9,17,36,2,97,28,72
568,Massimo,Haversham,Male,4,15,6,32,5,52,48
569,Sloan,Caldaro,Male,10,18,40,100,91,9,89
570,Vincenty,Atterley,Male,2,24,20,44,19,93,81
571,Marisa,Gronou,Female,10,21,35,33,0,21,60
572,Alexander,Haxley,Male,9,13,5,85,58,65,89
573,Salvidor,Shortall,Male,12,6,11,97,41,64,73
574,Leticia,Rumsby,Female,7,9,1,5,55,7,24
575,Dalis,McGlew,Male,8,1,47,78,76,9,18
576,Giuditta,Bumphries,Female,7,30,21,16,56,55,31
577,Isaac,Treen,Male,8,15,3,25,64,82,56
578,Les,Daskiewicz,Male,9,29,29,62,91,45,13
579,Jessi,Clementet,Female,12,2,15,70,21,3,66
580,Giulietta,Izsak,Female,4,0,48,1,89,23,74
581,Thatch,McTerlagh,Male,12,0,45,86,79,78,9
582,Willyt,Heibel,Female,2,16,28,92,94,90,15
583,Mickie,Dilliston,Male,1,7,30,98,25,8,95
584,Jamie,Hutcheson,Male,11,17,7,39,79,18,55
585,Hayyim,Arkin,Male,1,26,30,93,97,74,58
586,Fidela,Teasdale-Markie,Female,9,13,38,57,29,56,58
587,Ediva,Jerson,Female,8,17,21,29,68,58,46
588,Otis,Bleue,Male,12,9,2,13,5,42,42
589,Mart,Wolverson,Male,12,3,14,73,0,45,82
590,Ketty,Hakonsen,Female,8,8,14,25,44,89,30
591,Shelly,Adamkiewicz,Female,9,2,40,85,98,82,29
592,Melli,Caroli,Female,11,14,38,100,1,39,21
593,Trevor,Werndly,Male,8,14,6,5,79,61,52
594,Zollie,Fonte,Male,10,17,40,92,40,80,87
595,Steven,Bartoszinski,Male,6,16,15,25,32,68,57
596,Albie,Grzegorzewicz,Male,2,24,48,57,38,58,32
597,Wilbert,Tombs,Male,10,19,43,46,16,14,40
598,Marrilee,Whewell,Female,4,20,2,30,32,19,22
599,Porter,Chazerand,Male,2,0,10,16,2,26,10
600,Redford,Herreran,Male,5,14,41,98,20,56,43
601,Nolie,Aucott,Female,8,21,41,24,79,52,41
602,Dean,Playfoot,Male,10,2,17,65,95,72,86
603,Domini,Morphew,Female,7,24,31,74,77,78,82
604,Daryl,Ochterlonie,Male,11,1,40,26,66,56,74
605,Free,Kennifick,Male,5,3,7,23,40,31,81
606,Hilario,Steane,Male,6,23,47,57,87,100,84
607,Lavinie,Brunone,Female,12,1,44,52,35,40,14
608,Boone,Ginni,Male,10,25,20,96,84,27,59
609,Reilly,Cuttell,Male,4,22,14,90,5,68,9
610,Neill,Folley,Male,7,26,22,28,26,95,19
611,Westleigh,Gisbourn,Male,5,23,12,56,77,20,10
612,Laurianne,Gypson,Female,9,21,4,48,97,53,78
613,Sawyere,McGrane,Male,1,19,49,29,77,41,100
614,Neale,Elward,Male,2,11,9,30,80,78,98
615,Freeman,Lapthorn,Male,12,28,20,62,35,9,29
616,Kissee,Dongate,Female,3,3,6,21,68,12,35
617,Glenna,Juara,Female,12,10,10,66,58,69,51
618,Grata,Uden,Female,6,28,9,80,87,66,48
619,Barthel,Durram,Male,10,17,20,20,58,45,18
620,Boycey,Keepe,Male,3,22,6,28,97,10,94
621,Carita,Grisley,Female,7,19,37,93,98,90,100
622,Jobie,Northidge,Female,12,23,41,13,20,61,60
623,Sheilakathryn,Pelosi,Female,5,5,50,61,23,52,57
624,Larine,Keymer,Female,2,28,44,89,91,53,38
625,Eduino,Ivetts,Male,4,28,8,29,50,92,78
626,Kahaleel,Shute,Male,11,29,37,37,63,75,100
627,Blane,Veevers,Male,7,15,37,76,81,50,44
628,Crysta,McAlpin,Female,12,1,2,20,73,15,86
629,Jamesy,Tabard,Male,8,14,40,81,0,58,44
630,Gun,O'Lunny,Male,10,12,9,3,20,25,9
631,Leandra,Goldstein,Female,6,28,39,53,6,65,69
632,Tyne,Meenan,Female,3,11,50,23,89,40,6
633,Rubie,O'Deegan,Female,4,19,3,86,32,76,78
634,Towny,Nursey,Male,4,4,49,4,61,36,52
635,Cherlyn,Nuzzi,Female,1,12,40,52,31,86,71
636,Caron,Gibbieson,Female,10,28,24,77,21,62,85
637,Gratia,Pixton,Female,1,8,12,10,27,20,21
638,Bernie,Filasov,Male,9,20,6,71,89,31,9
639,Isabelle,Minall,Female,10,5,22,62,82,70,88
640,Shaylynn,Folini,Female,6,0,29,68,60,95,72
641,Larine,McCrachen,Female,3,28,50,18,89,42,22
642,Chloris,Furney,Female,7,16,8,74,87,60,71
643,Lindy,Cleveley,Male,3,30,25,56,95,49,40
644,Brianna,Garfitt,Female,7,28,11,8,69,30,42
645,Caprice,Ellerman,Female,8,17,24,100,8,86,65
646,Ann-marie,Mabb,Female,8,28,28,82,60,30,36
647,Zaccaria,Mabbott,Male,6,14,37,63,67,83,59
648,Erina,Beyn,Female,3,23,32,78,85,93,100
649,Lucinda,Foyster,Female,6,10,21,59,17,31,61
650,Winn,Carlson,Male,1,3,27,93,40,11,99
651,Celestyna,Demelt,Female,5,24,44,66,69,89,72
652,Christabel,Osboldstone,Female,1,2,42,31,38,33,71
653,Ginger,Boise,Female,1,19,37,87,23,72,13
654,Judas,Ventum,Male,7,15,41,65,5,35,79
655,Brand,Gilliver,Male,3,25,41,40,8,26,14
656,Maryellen,Valek,Female,3,8,31,52,55,61,63
657,Shae,Jordeson,Male,7,19,6,42,37,100,55
658,Brynne,Brands,Female,8,27,25,74,67,35,28
659,Adams,Stannis,Male,9,28,1,53,69,11,27
660,Abbe,Merali,Female,5,23,31,45,60,2,30
661,Zsazsa,Gheerhaert,Female,10,18,16,60,31,36,12
662,Daren,Moro,Male,1,15,23,55,61,25,79
663,Taite,Nafzger,Male,9,29,45,60,71,46,16
664,Tammie,Hovy,Male,12,30,14,5,31,79,100
665,Laurence,Mather,Male,10,27,33,81,69,58,33
666,Anselm,Charter,Male,4,21,21,67,33,43,72
667,Winston,McCrachen,Male,11,24,26,69,82,14,5
668,Ford,Bisgrove,Male,6,10,4,59,49,60,55
669,Tonia,Trodden,Female,3,28,6,20,88,11,14
670,Sharyl,Talmadge,Female,6,2,48,76,53,90,95
671,Turner,Peris,Male,10,22,49,68,26,7,20
672,Starlin,Durdan,Female,4,30,2,12,15,20,94
673,Kristien,Beazey,Female,10,26,22,51,51,14,27
674,Leigh,Hawkwood,Male,5,0,31,26,84,97,34
675,Ingar,Kettridge,Male,12,2,33,62,49,4,27
676,Malinda,Senn,Female,1,2,21,8,47,47,11
677,Colleen,Anear,Female,11,11,21,34,39,45,31
678,Sigfried,Postgate,Male,9,14,49,64,0,15,71
679,Ree,Millican,Female,12,16,30,45,64,70,26
680,Glenn,Jeffels,Female,1,27,32,12,51,94,95
681,Philippa,Beceril,Female,8,4,14,35,83,87,35
682,Yard,Merriday,Male,11,3,29,76,65,64,28
683,Corena,Benedikt,Female,6,18,18,79,68,97,100
684,Jonie,Addington,Female,9,4,4,84,40,77,79
685,Allen,D'Agostini,Male,11,0,50,14,49,15,60
686,Elset,Maulkin,Female,4,27,21,31,90,1,9
687,Emilie,Crossingham,Female,4,21,39,22,55,24,1
688,Gerrard,Drohun,Male,12,28,30,19,36,88,73
689,Tallie,McMurraya,Female,10,3,22,15,67,93,40
690,Maurine,Bew,Female,1,4,36,28,85,76,40
691,Izak,Alliberton,Male,6,20,4,2,89,54,88
692,Codie,Gidman,Male,1,4,32,84,1,61,0
693,Micki,Hentzeler,Female,6,25,35,98,71,32,46
694,Jere,Klementz,Male,3,14,41,20,62,55,60
695,Marshall,Callard,Male,5,25,2,51,13,87,23
696,Theo,Westcar,Male,9,29,23,91,84,77,20
697,Jewell,O'Teague,Female,11,29,13,46,32,8,40
698,Trent,Goudie,Male,11,7,14,95,81,0,33
699,Harv,Harbage,Male,5,18,47,35,34,32,47
700,Salaidh,Laydel,Female,8,25,34,96,94,71,61
701,Ethyl,McInnery,Female,9,25,11,80,70,97,78
702,Kelby,Burleigh,Male,10,23,13,63,6,50,94
703,Winfred,Yglesia,Male,4,12,46,42,99,36,49
704,Austine,Copins,Female,4,21,22,9,66,82,20
705,Rochette,Tomkiss,Female,8,27,17,30,5,43,75
706,Moria,Pietroni,Female,11,24,8,19,41,63,82
707,Humfrid,Tomkies,Male,1,16,6,33,49,96,3
708,Gisella,Dinsmore,Female,9,2,1,37,77,11,3
709,Inesita,Revance,Female,3,7,4,45,61,17,67
710,Christophorus,Izacenko,Male,9,11,28,54,60,72,38
711,Filberte,Layne,Male,2,27,28,67,23,47,12
712,Timothea,Merrison,Female,2,22,42,88,68,7,97
713,Glynn,Warren,Male,3,30,32,47,4,47,60
714,Mason,Gietz,Male,5,15,13,38,84,13,18
715,Manny,Pendrid,Male,11,24,5,63,83,87,48
716,Noby,Stoffel,Male,2,8,32,60,16,72,29
717,Cesya,Babon,Female,4,10,30,76,66,40,93
718,Burnard,Abilowitz,Male,4,13,11,44,7,13,94
719,Willem,Jozwik,Male,12,7,23,11,50,15,26
720,Burr,Cornils,Male,5,29,36,20,71,74,1
721,Boyd,Hrinishin,Male,3,4,3,63,49,28,96
722,Marlyn,Sheehan,Female,1,23,40,14,99,87,86
723,Virgilio,Whitwham,Male,6,29,29,43,30,82,18
724,Faunie,Bunyard,Female,3,15,4,30,8,40,5
725,Ripley,Ummfrey,Male,3,15,6,61,92,24,40
726,Bennett,Bestman,Male,2,23,4,47,41,5,51
727,Omar,Trench,Male,3,21,41,78,39,69,5
728,Luke,Hovenden,Male,11,10,45,99,27,24,46
729,Debra,Jerdon,Female,3,17,49,91,41,69,12
730,Sinclair,Blaksley,Male,5,7,33,97,67,75,83
731,Georgeta,Bowich,Female,2,28,16,18,20,39,6
732,North,McQuaide,Male,4,24,29,61,81,26,93
733,Maurice,Caldero,Male,4,18,44,25,31,68,32
734,Olive,Tukesby,Female,6,29,24,100,85,83,21
735,Ivie,Loiterton,Female,5,29,17,69,93,71,26
736,Virginie,Corrie,Female,2,17,49,70,9,23,48
737,Parker,McCart,Male,2,14,46,75,46,24,56
738,Maryanna,Betteridge,Female,6,3,14,58,76,41,28
739,Daffi,Palin,Female,8,10,38,29,86,0,94
740,Ogden,Riddett,Male,11,6,5,29,99,22,81
741,Amos,Esland,Male,3,21,25,41,38,2,86
742,Gerrard,Paynter,Male,3,5,46,42,43,53,29
743,Giffard,Galbraeth,Male,11,2,26,37,53,15,16
744,Jule,By,Male,9,2,25,6,88,52,94
745,Angelica,Francesco,Female,4,7,9,51,18,54,29
746,Ginni,Birtchnell,Female,5,26,48,99,74,33,20
747,Gwendolen,Twohig,Female,3,14,39,82,62,41,53
748,Wit,McAlpine,Male,10,14,15,29,81,53,93
749,Goldie,Colliard,Female,8,16,47,33,23,2,95
750,Paolina,Twinborne,Female,4,13,42,79,46,63,61
751,Amory,Bellocht,Male,6,20,9,43,44,40,39
752,Rosa,Imloch,Female,5,17,9,12,50,41,24
753,Valera,Itzkovwich,Female,6,24,50,54,32,4,80
754,Alejoa,Scyone,Male,3,13,11,46,69,94,90
755,Vic,Drakers,Male,8,9,5,56,7,10,6
756,Dedie,Broy,Female,12,8,31,79,41,65,55
757,Kiah,Terrey,Female,12,6,35,64,58,75,91
758,Nicolea,Hare,Female,3,29,34,87,83,3,25
759,Merralee,Gilmore,Female,2,22,19,48,4,87,86
760,Daven,Tethacot,Male,12,15,14,64,59,68,56
761,Keir,Small,Male,8,28,40,65,17,7,81
762,Farleigh,Duffitt,Male,5,5,35,68,83,16,51
763,Ferd,Coulston,Male,10,15,25,19,40,11,13
764,Chevalier,Rushbrooke,Male,7,6,4,40,46,94,100
765,Peggie,Izod,Female,10,4,39,63,52,62,40
766,Atlante,Swindells,Female,5,26,48,70,46,35,69
767,Johny,Storres,Male,2,25,18,41,70,1,16
768,Giacobo,Babidge,Male,3,29,46,41,98,63,57
769,Pattie,Jakucewicz,Male,3,10,28,92,13,58,72
770,Cy,Boyer,Male,9,27,7,1,69,21,22
771,Brewer,Salway,Male,8,9,19,59,31,22,71
772,Timmy,Geraldez,Female,6,17,25,68,80,48,61
773,Krystle,Reese,Female,9,21,43,7,11,80,91
774,Eleen,Spreckley,Female,2,26,14,72,37,74,72
775,Clayton,Kilbride,Male,7,27,25,87,77,44,99
776,Gian,Cleator,Male,2,10,25,11,52,56,21
777,Orin,Bufton,Male,3,17,20,86,74,59,89
778,Darb,Domegan,Male,8,24,2,93,95,9,77
779,Fredelia,Musselwhite,Female,5,22,34,24,67,45,52
780,Kiele,Matheson,Female,5,21,50,92,40,94,76
781,Osbourne,Chomicki,Male,2,14,1,17,7,70,59
782,Dennis,Mees,Male,2,12,19,50,16,19,42
783,Drucie,Fulop,Female,5,15,40,71,67,8,83
784,Lanita,Craddy,Female,5,7,38,24,77,100,11
785,Pierrette,Macbane,Female,4,27,19,77,30,15,50
786,Chandal,Borborough,Female,1,29,23,58,19,14,23
787,Nealy,Curror,Male,4,21,27,65,12,13,6
788,Aubine,Izzard,Female,6,29,3,40,71,65,76
789,Uriah,Izakov,Male,5,12,44,97,27,50,12
790,Hogan,Dohmann,Male,8,16,25,34,90,28,58
791,Gerianna,Fotitt,Female,9,6,34,0,26,15,67
792,Vincenty,Melbert,Male,4,14,12,68,2,95,6
793,Leighton,Croose,Male,8,15,2,17,53,81,14
794,Gordy,Gibbie,Male,12,15,13,9,48,45,82
795,Francesco,Dalglish,Male,5,10,38,54,96,81,18
796,Rhetta,Campaigne,Female,11,11,49,81,1,4,55
797,Malena,Huke,Female,3,7,30,22,10,23,82
798,Gawen,Skevington,Male,5,21,17,44,5,65,20
799,Wanda,Arkin,Female,9,9,26,94,14,57,83
800,Juliann,Ineson,Female,11,9,41,15,72,87,96
801,Willdon,Leneve,Male,2,16,21,67,82,83,49
802,Abba,Stanex,Male,2,21,39,80,88,83,65
803,Nahum,Oliphant,Male,8,9,22,5,71,89,10
804,Oby,Geerling,Male,9,18,9,73,28,73,7
805,Skippy,Bettlestone,Male,11,25,20,55,11,78,56
806,Kaitlyn,Abrahams,Female,1,19,25,1,23,83,96
807,Hebert,Zarb,Male,7,14,3,36,26,59,32
808,Ediva,Smees,Female,4,17,14,93,4,45,0
809,Yule,Oleshunin,Male,12,26,5,67,29,12,4
810,Goldarina,Moizer,Female,8,17,33,67,1,48,71
811,Gwennie,Diament,Female,9,3,12,35,61,67,20
812,Natty,Ling,Female,9,21,9,47,26,49,2
813,Maybelle,Quinnell,Female,11,27,25,81,42,54,3
814,Clemens,Rodrigo,Male,6,10,43,32,79,93,59
815,Nissa,Oiller,Female,1,29,17,52,91,89,93
816,Terese,Drewett,Female,9,25,49,30,43,67,92
817,Sander,Edgcumbe,Male,8,28,28,98,66,17,74
818,Aksel,Loukes,Male,7,10,5,39,47,77,23
819,Gill,Scutchin,Female,3,10,39,13,48,59,78
820,Vincent,Klebes,Male,5,1,29,35,30,71,41
821,Frazier,Aldam,Male,5,2,11,26,13,66,69
822,Codee,Seaborne,Female,3,3,27,68,84,42,49
823,Sunny,Hutchens,Female,3,11,45,72,30,62,35
824,Philis,Glauber,Female,3,18,42,2,77,9,80
825,Elizabeth,Dews,Female,8,1,21,99,78,37,78
826,Anabelle,Briscam,Female,10,17,14,40,0,7,77
827,Dael,Di Giacomettino,Male,6,26,19,18,9,92,55
828,Kerri,Nevitt,Female,8,2,6,83,54,2,58
829,Pamelina,Burness,Female,4,29,8,40,25,74,5
830,Trip,Lattey,Male,12,23,14,14,80,8,3
831,Hank,McMylor,Male,8,4,23,75,11,26,83
832,Andres,Hemshall,Male,3,10,44,59,40,83,43
833,Bordie,Golsby,Male,4,25,43,14,53,24,25
834,Hall,Gisborne,Male,1,3,23,12,39,45,99
835,Adelina,Swanston,Female,9,18,14,62,81,13,85
836,Pietrek,Andriveaux,Male,12,25,39,18,3,74,85
837,Tristan,Romans,Male,5,28,7,67,71,86,39
838,Reggi,McKenzie,Female,3,26,17,54,100,53,27
839,Binni,McGeaney,Female,5,23,18,82,18,29,52
840,Lorene,Towne,Female,9,20,29,75,11,72,99
841,Bartholemy,Pechet,Male,3,21,17,75,65,16,100
842,Rinaldo,Moloney,Male,4,9,38,49,80,93,5
843,Raviv,Gulliman,Male,11,22,10,17,8,40,69
844,Martica,Alyukin,Female,2,23,8,57,71,32,34
845,Arthur,Gregoli,Male,5,9,39,9,70,42,22
846,Matty,Capaldi,Female,7,25,35,66,32,60,65
847,Don,Meek,Male,4,10,3,56,87,36,83
848,Abie,Hayball,Male,3,21,8,57,92,84,34
849,Gail,Ciepluch,Male,10,29,32,31,98,61,100
850,Jonie,Calbaithe,Female,7,24,15,12,17,4,63
851,Kendra,Siddons,Female,8,5,45,14,62,95,17
852,Darsey,Storm,Female,12,5,49,8,88,60,85
853,Nicolette,Helversen,Female,10,22,8,98,45,3,76
854,Elspeth,Sturges,Female,12,0,38,18,73,74,7
855,Fallon,Medwell,Female,6,9,45,52,65,17,33
856,Dorthea,Asals,Female,11,4,32,23,42,9,5
857,Annabella,Hempel,Female,4,1,2,83,72,76,73
858,Thane,Vischi,Male,4,13,25,13,0,71,2
859,Holly-anne,Mawby,Female,9,30,8,32,13,20,98
860,Jedidiah,Eskrick,Male,12,30,16,84,42,99,47
861,Durant,Maliphant,Male,7,2,48,100,46,85,54
862,Giustina,Hains,Female,1,17,8,45,35,61,41
863,Kaspar,Blumsom,Male,6,13,11,21,46,82,93
864,Brade,Dowdall,Male,2,17,9,93,71,62,39
865,Crysta,Geggie,Female,8,23,22,71,48,89,69
866,Frasier,Dinan,Male,11,21,20,63,76,48,84
867,Justin,Ackeroyd,Male,9,19,1,99,41,26,85
868,Chas,Densun,Male,6,28,27,11,49,16,14
869,Halette,Flatte,Female,6,4,45,66,47,82,28
870,Gina,Harmstone,Female,6,7,46,52,69,7,78
871,Eloise,Tampion,Female,7,11,22,96,29,64,86
872,Stavro,Ebden,Male,6,17,31,74,85,10,16
873,Zarah,Deniskevich,Female,8,8,22,13,56,3,62
874,Clementia,Newling,Female,5,21,43,60,75,59,92
875,Albert,Walworth,Male,8,29,48,94,88,44,67
876,Cori,Kunert,Male,6,30,25,55,89,34,34
877,Cyndie,Abramamovh,Female,7,30,35,46,3,75,54
878,Pippy,Stowgill,Female,4,0,7,65,45,69,84
879,Tybie,Grassot,Female,5,4,37,48,61,23,65
880,Melli,O'Gready,Female,2,30,36,53,16,61,50
881,Gonzales,de Lloyd,Male,4,22,9,67,98,18,72
882,Garner,Tyrwhitt,Male,1,23,50,10,38,96,9
883,Eula,Piatti,Female,11,5,16,25,43,71,14
884,Mignonne,Gegg,Female,12,29,15,55,43,96,93
885,Pete,Sterke,Male,3,29,31,57,81,64,53
886,Robbie,Mee,Female,6,3,0,84,59,91,23
887,Parnell,Jerzyk,Male,10,16,10,46,40,27,82
888,Annecorinne,Dowdam,Female,11,21,10,65,48,91,38
889,Jake,Verni,Male,10,25,46,26,67,93,9
890,Ethelred,Tomkin,Male,2,15,32,99,73,18,92
891,Bailey,Jiroutka,Male,11,24,36,97,65,50,70
892,Jedediah,Congreve,Male,4,18,11,79,23,37,88
893,Hewett,Wonfor,Male,5,12,23,64,2,81,46
894,Ofella,Altofts,Female,4,17,28,72,49,78,53
895,Marcy,Salvadori,Female,4,23,23,47,21,99,14
896,Keane,Aleixo,Male,4,15,17,18,82,86,51
897,Dieter,Timeby,Male,8,0,38,4,79,5,54
898,Addie,Cranfield,Male,7,11,1,98,4,33,30
899,Tyler,Clow,Male,5,26,41,54,4,75,49
900,Chick,Swinney,Male,1,21,18,66,87,96,19
901,Nealy,Orwin,Male,10,30,26,100,53,77,24
902,Gerhard,Moulster,Male,9,11,4,18,47,25,34
903,Hi,Lowcock,Male,7,2,23,66,77,34,38
904,Filippo,Duckerin,Male,9,3,3,16,53,81,37
905,Farlay,De Biasio,Male,12,5,31,46,4,25,26
906,Greg,Standring,Male,1,2,22,71,44,65,95
907,Stevy,Sands-Allan,Male,10,6,11,62,99,79,12
908,Gaby,Redd,Male,8,13,50,42,21,87,26
909,Moses,Lared,Male,12,23,33,4,80,85,69
910,Eva,Clail,Female,6,20,1,5,82,7,6
911,Filberto,Thomkins,Male,10,12,33,94,27,22,31
912,Rollins,Durtnell,Male,8,8,15,91,89,86,6
913,Jorrie,Ovitz,Female,11,14,39,49,30,97,79
914,Boycey,Domoney,Male,8,5,41,39,45,45,85
915,Erek,Plowes,Male,2,5,12,31,44,0,13
916,Giffard,Crossley,Male,12,13,36,93,33,14,36
917,Lucias,Blazej,Male,9,14,31,74,57,66,29
918,Sandro,Figiovanni,Male,10,6,5,21,38,11,37
919,Willow,Mcimmie,Female,8,13,3,74,77,5,62
920,Bel,Wille,Female,4,3,12,50,43,0,11
921,Ramona,Foyston,Female,12,10,0,71,67,18,9
922,Ariel,Hayhurst,Female,1,8,23,96,13,43,65
923,Danny,Grzegorecki,Male,8,7,23,1,47,48,26
924,Sandye,Gives,Female,10,25,11,54,10,4,65
925,Tabby,MacGregor,Female,6,6,24,94,53,1,17
926,Gusti,Mennear,Female,7,30,8,21,49,41,20
927,Julianna,Baptie,Female,4,29,15,10,3,39,45
928,Raymond,Skoggings,Male,7,16,9,77,87,83,78
929,Katey,MacVicar,Female,3,8,41,28,17,23,61
930,Dagny,Monteaux,Male,10,0,0,60,23,18,57
931,Lynnett,Haldin,Female,1,5,20,89,25,80,25
932,Joy,Campey,Female,8,15,38,12,2,97,66
933,Barney,Binny,Male,9,3,29,39,72,29,12
934,Gwendolin,Emblow,Female,5,17,18,51,34,40,40
935,Eugenius,Kibel,Male,12,23,44,44,21,84,59
936,Alonzo,Barbie,Male,2,8,43,41,3,68,64
937,Taddeusz,Barsby,Male,7,25,12,45,53,61,84
938,Lisle,Lorente,Male,6,7,49,65,4,23,39
939,Gare,Josling,Male,10,20,50,58,89,74,59
940,Ancell,Scottesmoor,Male,9,26,37,4,14,39,70
941,Tildie,Simonds,Female,7,10,12,69,16,69,31
942,Umeko,Walesa,Female,10,15,8,13,76,60,90
943,Federico,Menghi,Male,7,25,0,93,15,8,81
944,Pryce,Tegeller,Male,2,12,1,7,5,19,11
945,Henriette,Fourmy,Female,7,20,15,89,27,26,94
946,Brendan,Shoveller,Male,3,27,29,39,57,46,92
947,Alexandra,Cruess,Female,8,6,48,100,30,68,0
948,Lenee,Espinos,Female,8,28,15,86,90,13,32
949,Kevon,Perulli,Male,10,29,14,69,31,62,12
