id,first_name,last_name,gender,Grade,absence_days,tardy_days,math_grade,science_grade,english_grade,it_grade,math_pass,science_pass,english_pass,it_pass,avg_grade,attendance_rate,tardy_rate,total_attendance_issues,attendance_situation,pass_status,attendance_category,grade_level_group,at_risk,needs_intervention,failed_subjects,best_subject,worst_subject,grade_variance,performance_tier,honor_roll
139,Elliott,Boshell,Male,11,30,47,84,0,84,3,1,0,1,0,42.75,83.33,26.11,77,Excessive Absence,Fail,Exessive,High (9-12),1,1,2,Math,Science,47.65,Failing,0
140,Pauly,Joskowicz,Male,11,11,35,15,13,35,39,0,0,0,0,25.5,93.89,19.44,46,Excessive Absence,Fail,Exessive,High (9-12),0,1,4,It,Science,13.4,Failing,0
141,Annamaria,Philipsson,Female,12,7,49,14,56,32,88,0,1,0,1,47.5,96.11,27.22,56,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,2,It,Math,32.02,Failing,0
142,Ariana,Noor,Female,2,20,20,80,86,72,50,1,1,1,1,72.0,88.89,11.11,40,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,It,15.75,Satisfactory,0
143,Lucian,Syvret,Male,11,0,15,48,65,8,47,0,1,0,0,42.0,100.0,8.33,15,Acceptable,Fail,Moderate,High (9-12),0,0,3,Science,English,24.12,Failing,0
144,Raoul,Ochterlonie,Male,9,10,2,5,31,62,30,0,0,1,0,32.0,94.44,1.11,12,Acceptable,Fail,Moderate,High (9-12),0,0,3,English,Math,23.34,Failing,0
145,Grant,Cadreman,Male,10,0,31,35,12,25,60,0,0,0,1,33.0,100.0,17.22,31,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,It,Science,20.31,Failing,0
146,Thorny,Rosewell,Male,5,7,37,50,77,50,96,1,1,1,1,68.25,96.11,20.56,44,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,22.46,Needs Improvement,0
147,Sonnie,Coggings,Male,10,1,6,32,5,17,79,0,0,0,1,33.25,99.44,3.33,7,Acceptable,Fail,Good,High (9-12),0,0,3,It,Science,32.44,Failing,0
148,Jarret,Skerrett,Male,11,20,39,80,27,60,34,1,0,1,0,50.25,88.89,21.67,59,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,Math,Science,24.39,Passing,0
149,Jarvis,Friel,Male,2,22,29,96,50,50,81,1,1,1,1,69.25,87.78,16.11,51,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,23.06,Needs Improvement,0
150,Dorian,Clackers,Male,1,7,8,51,50,50,50,1,1,1,1,50.25,96.11,4.44,15,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Math,Science,0.5,Passing,0
151,Dianne,Roads,Female,8,27,0,37,21,35,47,0,0,0,0,35.0,85.0,0.0,27,Excessive Absence,Fail,Concerning,Middle (6-8),0,1,4,It,Science,10.71,Failing,0
152,Pepita,Nisbet,Female,11,7,23,16,66,24,49,0,1,0,0,38.75,96.11,12.78,30,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,3,Science,Math,22.97,Failing,0
153,Fitz,Scatchard,Male,10,26,15,91,8,52,7,1,0,1,0,39.5,85.56,8.33,41,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,Math,It,40.24,Failing,0
154,Norah,Flecknell,Female,4,28,11,50,82,50,100,1,1,1,1,70.5,84.44,6.11,39,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,24.79,Satisfactory,0
155,Granger,Doddrell,Male,3,12,13,50,73,50,67,1,1,1,1,60.0,93.33,7.22,25,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Science,Math,11.8,Needs Improvement,0
156,Kaitlin,Christley,Female,7,13,2,16,49,23,16,0,0,0,0,26.0,92.78,1.11,15,Excessive Absence,Fail,Moderate,Middle (6-8),0,1,4,Science,Math,15.68,Failing,0
157,Payton,Ruberti,Male,7,26,34,73,62,6,22,1,1,0,0,40.75,85.56,18.89,60,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,2,Math,English,31.89,Failing,0
158,Hobard,Wardell,Male,12,18,46,29,37,6,23,0,0,0,0,23.75,90.0,25.56,64,Excessive Absence,Fail,Exessive,High (9-12),0,1,4,Science,English,13.15,Failing,0
159,Yurik,Smitherham,Male,2,23,47,50,50,50,50,1,1,1,1,50.0,87.22,26.11,70,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Math,0.0,Passing,0
160,Flossi,Ingon,Female,5,20,40,50,50,50,87,1,1,1,1,59.25,88.89,22.22,60,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,18.5,Passing,0
161,Branden,Beahan,Male,12,18,8,17,88,29,28,0,1,0,0,40.5,90.0,4.44,26,Excessive Absence,Fail,Concerning,High (9-12),0,1,3,Science,Math,32.13,Failing,0
162,Cly,Spikeings,Male,12,4,24,1,53,67,26,0,1,1,0,36.75,97.78,13.33,28,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,2,English,Math,29.28,Failing,0
163,Giulia,Klemps,Female,4,4,12,50,50,96,50,1,1,1,1,61.5,97.78,6.67,16,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,English,Math,23.0,Needs Improvement,0
164,Boonie,Bourbon,Male,8,2,24,25,100,72,37,0,1,1,0,58.5,98.89,13.33,26,Excessive Tardiness,Pass,Concerning,Middle (6-8),0,1,2,Science,Math,34.1,Passing,0
165,Dalt,Lasham,Male,9,0,22,40,43,31,36,0,0,0,0,37.5,100.0,12.22,22,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,4,Science,English,5.2,Failing,0
166,Monique,Wellbank,Female,12,2,23,64,10,23,85,1,0,0,1,45.5,98.89,12.78,25,Excessive Tardiness,Fail,Concerning,High (9-12),0,1,2,It,Science,34.97,Failing,0
167,Nancey,Olle,Female,11,30,35,46,31,81,95,0,0,1,1,63.25,83.33,19.44,65,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,It,Science,29.78,Needs Improvement,0
168,Roxy,Gregg,Female,5,27,6,64,50,90,50,1,1,1,1,63.5,85.0,3.33,33,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Science,18.86,Needs Improvement,0
169,Viola,Kordt,Female,2,23,39,50,94,53,50,1,1,1,1,61.75,87.22,21.67,62,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,Math,21.55,Needs Improvement,0
170,Ax,De Giorgis,Male,7,4,37,31,27,72,26,0,0,1,0,39.0,97.78,20.56,41,Excessive Tardiness,Fail,Exessive,Middle (6-8),0,1,3,English,It,22.11,Failing,0
171,Dian,Downing,Female,12,10,18,98,13,25,65,1,0,0,1,50.25,94.44,10.0,28,Tardiness and absence issues,Pass,Concerning,High (9-12),0,1,2,Math,Science,38.83,Passing,0
172,Cecil,Epine,Male,1,30,0,65,69,62,94,1,1,1,1,72.5,83.33,0.0,30,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,It,English,14.62,Satisfactory,0
173,Erasmus,Hardaway,Male,1,20,4,50,50,52,50,1,1,1,1,50.5,88.89,2.22,24,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,English,Math,1.0,Passing,0
174,Luciana,Cotty,Female,5,13,2,50,50,71,50,1,1,1,1,55.25,92.78,1.11,15,Excessive Absence,Pass,Moderate,Elementary (1-5),0,1,0,English,Math,10.5,Passing,0
175,Mabelle,Fernando,Female,12,28,20,19,64,47,61,0,1,0,1,47.75,84.44,11.11,48,Excessive Absence,Fail,Exessive,High (9-12),1,1,2,Science,Math,20.55,Failing,0
176,Valentine,Hillyatt,Female,11,1,40,85,19,40,14,1,0,0,0,39.5,99.44,22.22,41,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,Math,It,32.36,Failing,0
177,Gerrilee,Thorby,Female,8,6,32,52,0,34,71,1,0,0,1,39.25,96.67,17.78,38,Excessive Tardiness,Fail,Exessive,Middle (6-8),0,1,2,It,Science,30.21,Failing,0
178,Jethro,Vannacci,Male,7,1,17,3,42,49,66,0,0,0,1,40.0,99.44,9.44,18,Acceptable,Fail,Moderate,Middle (6-8),0,0,3,It,Math,26.65,Failing,0
179,Borg,Stout,Male,4,14,8,98,50,83,50,1,1,1,1,70.25,92.22,4.44,22,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Math,Science,24.17,Satisfactory,0
180,Malorie,Thorpe,Female,7,27,4,55,24,38,79,1,0,0,1,49.0,85.0,2.22,31,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,2,It,Science,23.68,Failing,0
181,Granger,Helks,Male,7,24,39,8,37,7,81,0,0,0,1,33.25,86.67,21.67,63,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,3,It,English,34.74,Failing,0
182,Aldis,D'Alessio,Male,10,18,43,56,33,24,64,1,0,0,1,44.25,90.0,23.89,61,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,It,English,18.84,Failing,0
183,Jerrilyn,Leverette,Female,7,13,47,96,70,78,16,1,1,1,0,65.0,92.78,26.11,60,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,1,Math,It,34.43,Needs Improvement,0
184,Jesselyn,De La Cote,Female,11,27,21,16,26,38,92,0,0,0,1,43.0,85.0,11.67,48,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,It,Math,33.88,Failing,0
185,Ogden,Gland,Male,7,11,37,24,71,15,54,0,1,0,1,41.0,93.89,20.56,48,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,2,Science,English,26.04,Failing,0
186,Templeton,Isgate,Male,4,29,6,50,99,99,50,1,1,1,1,74.5,83.89,3.33,35,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,Math,28.29,Satisfactory,0
187,Tabby,Vinden,Female,1,10,25,50,79,95,87,1,1,1,1,77.75,94.44,13.89,35,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,19.62,Satisfactory,0
188,Forbes,Haslehurst,Male,1,7,21,59,73,89,87,1,1,1,1,77.0,96.11,11.67,28,Excessive Tardiness,Pass,Concerning,Elementary (1-5),0,1,0,English,Math,13.95,Satisfactory,0
189,Jesse,Aven,Male,4,8,47,50,83,86,50,1,1,1,1,67.25,95.56,26.11,55,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,19.96,Needs Improvement,0
190,Cass,Baiss,Female,10,16,18,26,96,1,88,0,1,0,1,52.75,91.11,10.0,34,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,Science,English,46.57,Passing,0
191,Gilberto,Pottle,Male,9,14,33,13,63,83,45,0,1,1,0,51.0,92.22,18.33,47,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,English,Math,29.71,Passing,0
192,Marcellina,Scottini,Female,3,28,45,59,50,50,61,1,1,1,1,55.0,84.44,25.0,73,Excessive Absence,Pass,Exessive,Elementary (1-5),1,1,0,It,Science,5.83,Passing,0
193,Erwin,Northley,Male,8,23,39,18,77,48,45,0,1,0,0,47.0,87.22,21.67,62,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,3,Science,Math,24.12,Failing,0
194,Blithe,Elmhirst,Female,6,3,40,66,59,50,72,1,1,1,1,61.75,98.33,22.22,43,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,0,It,English,9.46,Needs Improvement,0
195,Justis,Dahl,Male,10,13,22,24,95,16,2,0,1,0,0,34.25,92.78,12.22,35,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,Science,It,41.51,Failing,0
196,Herminia,Kitney,Female,4,12,16,77,50,92,57,1,1,1,1,69.0,93.33,8.89,28,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,English,Science,19.13,Needs Improvement,0
197,Sissie,Harvatt,Female,5,25,13,99,55,50,98,1,1,1,1,75.5,86.11,7.22,38,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,English,26.64,Satisfactory,0
198,Alfy,Netherclift,Male,9,26,26,20,2,92,59,0,0,1,1,43.25,85.56,14.44,52,Excessive Absence,Fail,Exessive,High (9-12),0,1,2,English,Science,40.28,Failing,0
199,Marijo,Frangleton,Female,3,14,0,80,50,50,50,1,1,1,1,57.5,92.22,0.0,14,Excessive Absence,Pass,Moderate,Elementary (1-5),0,1,0,Math,Science,15.0,Passing,0
200,Franny,Vitte,Female,9,0,2,100,9,14,80,1,0,0,1,50.75,100.0,1.11,2,Acceptable,Pass,Good,High (9-12),0,0,2,Math,Science,46.1,Passing,0
201,Konrad,Davidou,Male,12,1,18,66,21,42,53,1,0,0,1,45.5,99.44,10.0,19,Acceptable,Fail,Moderate,High (9-12),0,0,2,Math,Science,19.05,Failing,0
202,Homer,Baptie,Male,3,30,35,81,86,50,50,1,1,1,1,66.75,83.33,19.44,65,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,English,19.45,Needs Improvement,0
203,Britni,Dalgetty,Female,4,10,11,50,50,79,50,1,1,1,1,57.25,94.44,6.11,21,Acceptable,Pass,Concerning,Elementary (1-5),0,0,0,English,Math,14.5,Passing,0
204,Heidie,Spoor,Female,5,12,36,85,57,50,50,1,1,1,1,60.5,93.33,20.0,48,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,English,16.66,Needs Improvement,0
205,Bartholomew,Paudin,Male,12,5,49,99,12,86,68,1,0,1,1,66.25,97.22,27.22,54,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,1,Math,Science,38.34,Needs Improvement,0
206,Neale,Malinson,Male,10,23,5,99,61,74,40,1,1,1,0,68.5,87.22,2.78,28,Excessive Absence,Pass,Concerning,High (9-12),0,1,1,Math,It,24.69,Needs Improvement,0
207,Anallise,Hoffman,Female,3,26,38,94,57,50,98,1,1,1,1,74.75,85.56,21.11,64,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,English,24.76,Satisfactory,0
208,Christos,Windebank,Male,8,26,14,38,43,10,65,0,0,0,1,39.0,85.56,7.78,40,Excessive Absence,Fail,Exessive,Middle (6-8),0,1,3,It,English,22.61,Failing,0
209,Corenda,Muxworthy,Female,4,1,34,79,97,52,52,1,1,1,1,70.0,99.44,18.89,35,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,Science,English,22.05,Satisfactory,0
210,Moria,Windybank,Female,7,24,21,97,86,90,58,1,1,1,1,82.75,86.67,11.67,45,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,Math,It,17.11,Good,0
211,Hodge,Daverin,Male,3,17,1,50,72,50,50,1,1,1,1,55.5,90.56,0.56,18,Excessive Absence,Pass,Moderate,Elementary (1-5),0,1,0,Science,Math,11.0,Passing,0
212,Agna,Emerton,Female,1,9,6,50,58,74,50,1,1,1,1,58.0,95.0,3.33,15,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,English,Math,11.31,Passing,0
213,Jaye,Jahnig,Male,10,1,1,37,6,68,100,0,0,1,1,52.75,99.44,0.56,2,Acceptable,Pass,Good,High (9-12),0,0,2,It,Science,40.41,Passing,0
214,Betsey,Ayre,Female,9,9,47,81,91,77,75,1,1,1,1,81.0,95.0,26.11,56,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,0,Science,It,7.12,Good,0
215,Jodie,Sterry,Male,5,25,29,85,90,50,50,1,1,1,1,68.75,86.11,16.11,54,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,English,21.75,Needs Improvement,0
216,Lynne,Edscer,Female,6,27,38,50,50,50,92,1,1,1,1,60.5,85.0,21.11,65,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,It,Math,21.0,Needs Improvement,0
217,Meta,Rapier,Female,3,0,17,50,50,50,98,1,1,1,1,62.0,100.0,9.44,17,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,It,Math,24.0,Needs Improvement,0
218,Selene,Torrans,Female,8,4,4,0,43,67,62,0,0,1,1,43.0,97.78,2.22,8,Acceptable,Fail,Good,Middle (6-8),0,0,2,English,Math,30.47,Failing,0
219,Bessie,Craker,Female,11,16,5,38,69,27,1,0,1,0,0,33.75,91.11,2.78,21,Excessive Absence,Fail,Concerning,High (9-12),0,1,3,Science,It,28.16,Failing,0
220,Jay,Roelofs,Male,3,22,21,67,50,63,60,1,1,1,1,60.0,87.78,11.67,43,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Science,7.26,Needs Improvement,0
221,Deeyn,Valance,Female,12,12,41,23,73,100,13,0,1,1,0,52.25,93.33,22.78,53,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,English,It,41.26,Passing,0
222,Jo,Craigmyle,Male,9,1,30,38,11,15,63,0,0,0,1,31.75,99.44,16.67,31,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,It,Science,23.99,Failing,0
223,Yvonne,Rajchert,Female,5,26,23,71,84,50,83,1,1,1,1,72.0,85.56,12.78,49,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,English,15.81,Satisfactory,0
224,Ellette,Matasov,Female,3,6,49,53,50,50,60,1,1,1,1,53.25,96.67,27.22,55,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Science,4.72,Passing,0
225,Carlota,Seath,Female,12,9,33,17,66,49,85,0,1,0,1,54.25,95.0,18.33,42,Excessive Tardiness,Pass,Exessive,High (9-12),0,1,2,It,Math,28.86,Passing,0
226,Dalt,Rampling,Male,6,15,15,95,50,61,81,1,1,1,1,71.75,91.67,8.33,30,Excessive Absence,Pass,Concerning,Middle (6-8),0,1,0,Math,Science,20.12,Satisfactory,0
227,Kennith,Warlton,Male,12,16,39,26,48,63,30,0,0,1,0,41.75,91.11,21.67,55,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,English,Math,17.1,Failing,0
228,Selena,Kruschov,Female,10,4,47,10,16,26,88,0,0,0,1,35.0,97.78,26.11,51,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,It,Math,35.94,Failing,0
229,Francis,Povey,Male,7,9,34,83,91,67,68,1,1,1,1,77.25,95.0,18.89,43,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,0,Science,English,11.73,Satisfactory,0
230,Tatiana,Peregrine,Female,8,16,24,79,61,43,46,1,1,0,0,57.25,91.11,13.33,40,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,2,Math,English,16.5,Passing,0
231,Bernete,Claffey,Female,10,21,32,55,22,2,25,1,0,0,0,26.0,88.33,17.78,53,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,Math,English,21.86,Failing,0
232,Moshe,Ounsworth,Male,2,5,41,61,90,93,98,1,1,1,1,85.5,97.22,22.78,46,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,16.66,Good,0
233,Rhodia,Danniell,Female,4,17,10,100,51,50,50,1,1,1,1,62.75,90.56,5.56,27,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,Math,English,24.84,Needs Improvement,0
234,Rodie,Werner,Female,12,6,33,0,93,68,26,0,1,1,0,46.75,96.67,18.33,39,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,2,Science,Math,41.66,Failing,0
235,Laryssa,Inger,Female,11,5,4,61,59,82,28,1,1,1,0,57.5,97.22,2.22,9,Acceptable,Pass,Good,High (9-12),0,0,1,English,It,22.25,Passing,0
236,Michal,Axelbey,Female,10,1,44,86,20,40,0,1,0,0,0,36.5,99.44,24.44,45,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,Math,It,36.82,Failing,0
237,Bucky,Yakubov,Male,11,18,33,79,46,27,85,1,0,0,1,59.25,90.0,18.33,51,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,It,English,27.5,Passing,0
238,Blondy,Iacovolo,Female,8,28,36,25,11,56,90,0,0,1,1,45.5,84.44,20.0,64,Excessive Absence,Fail,Exessive,Middle (6-8),1,1,2,It,Science,35.12,Failing,0
239,Darbee,Splevin,Male,5,18,27,50,50,50,68,1,1,1,1,54.5,90.0,15.0,45,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,9.0,Passing,0
240,Connie,Byrcher,Male,8,0,3,38,22,2,68,0,0,0,1,32.5,100.0,1.67,3,Acceptable,Fail,Good,Middle (6-8),0,0,3,It,English,27.87,Failing,0
241,Anne-corinne,Raeburn,Female,1,15,22,51,50,57,89,1,1,1,1,61.75,91.67,12.22,37,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Science,18.43,Needs Improvement,0
242,Jillian,Fitzsymon,Female,5,17,36,50,50,50,50,1,1,1,1,50.0,90.56,20.0,53,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Math,0.0,Passing,0
243,Reider,Plumb,Male,3,0,27,86,74,56,73,1,1,1,1,72.25,100.0,15.0,27,Excessive Tardiness,Pass,Concerning,Elementary (1-5),0,1,0,Math,English,12.34,Satisfactory,0
244,Hillyer,O'Shevlin,Male,8,9,39,94,99,17,29,1,1,0,0,59.75,95.0,21.67,48,Excessive Tardiness,Pass,Exessive,Middle (6-8),0,1,2,Science,English,42.77,Passing,0
245,Noe,Pirelli,Male,3,6,31,79,93,100,53,1,1,1,1,81.25,96.67,17.22,37,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,It,20.76,Good,0
246,Catharina,Bourdel,Female,4,0,29,50,50,50,66,1,1,1,1,54.0,100.0,16.11,29,Excessive Tardiness,Pass,Concerning,Elementary (1-5),0,1,0,It,Math,8.0,Passing,0
247,Angelia,Bootman,Female,3,0,31,62,55,60,84,1,1,1,1,65.25,100.0,17.22,31,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Science,12.84,Needs Improvement,0
248,Tuck,Le Guin,Male,1,18,31,50,50,50,50,1,1,1,1,50.0,90.0,17.22,49,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Math,0.0,Passing,0
249,Alayne,Pasek,Female,3,25,17,74,50,72,78,1,1,1,1,68.5,86.11,9.44,42,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,It,Science,12.58,Needs Improvement,0
250,Elisha,Game,Male,10,8,1,52,6,98,78,1,0,1,1,58.5,95.56,0.56,9,Acceptable,Pass,Good,High (9-12),0,0,1,English,Science,39.75,Passing,0
251,Haily,Templar,Female,12,27,20,35,80,84,94,0,1,1,1,73.25,85.0,11.11,47,Excessive Absence,Pass,Exessive,High (9-12),0,1,1,It,Math,26.17,Satisfactory,0
252,Tobe,Mansford,Male,6,11,7,97,50,50,50,1,1,1,1,61.75,93.89,3.89,18,Excessive Absence,Pass,Moderate,Middle (6-8),0,1,0,Math,Science,23.5,Needs Improvement,0
253,Jerri,Farfolomeev,Male,6,25,14,50,50,75,71,1,1,1,1,61.5,86.11,7.78,39,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,English,Math,13.38,Needs Improvement,0
254,Wynne,Romand,Female,1,10,5,50,74,50,71,1,1,1,1,61.25,94.44,2.78,15,Acceptable,Pass,Moderate,Elementary (1-5),0,0,0,Science,Math,13.05,Needs Improvement,0
255,Kalindi,Zouch,Female,9,29,47,51,33,4,57,1,0,0,1,36.25,83.89,26.11,76,Excessive Absence,Fail,Exessive,High (9-12),1,1,2,It,English,23.8,Failing,0
256,Obediah,Murtagh,Male,11,6,14,9,46,62,26,0,0,1,0,35.75,96.67,7.78,20,Acceptable,Fail,Moderate,High (9-12),0,0,3,English,Math,23.13,Failing,0
257,Angele,Jahns,Female,6,14,26,57,50,77,50,1,1,1,1,58.5,92.22,14.44,40,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,English,Science,12.77,Passing,0
258,Dede,Shill,Female,1,5,43,50,80,50,83,1,1,1,1,65.75,97.22,23.89,48,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,18.23,Needs Improvement,0
259,Tim,Jepp,Male,10,10,43,6,20,40,91,0,0,0,1,39.25,94.44,23.89,53,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,It,Math,37.21,Failing,0
260,Margarete,Finlason,Female,3,2,42,50,50,72,50,1,1,1,1,55.5,98.89,23.33,44,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,11.0,Passing,0
261,Tarah,Kopec,Female,8,16,2,80,30,60,3,1,0,1,0,43.25,91.11,1.11,18,Excessive Absence,Fail,Moderate,Middle (6-8),0,1,2,Math,It,33.8,Failing,0
262,Reagan,Martugin,Male,4,15,16,50,67,50,52,1,1,1,1,54.75,91.67,8.89,31,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,Math,8.22,Passing,0
263,Lydia,Kesten,Female,11,11,48,97,37,89,62,1,0,1,1,71.25,93.89,26.67,59,Excessive Absence,Pass,Exessive,High (9-12),0,1,1,Math,Science,27.31,Satisfactory,0
264,Moyra,Limbert,Female,11,16,20,58,9,14,1,1,0,0,0,20.5,91.11,11.11,36,Excessive Absence,Fail,Exessive,High (9-12),0,1,3,Math,It,25.57,Failing,0
265,Gillie,Kelmere,Female,8,26,16,52,100,66,82,1,1,1,1,75.0,85.56,8.89,42,Excessive Absence,Pass,Exessive,Middle (6-8),0,1,0,Science,Math,20.69,Satisfactory,0
266,Jewel,Woolbrook,Female,2,17,13,50,50,72,50,1,1,1,1,55.5,90.56,7.22,30,Excessive Absence,Pass,Concerning,Elementary (1-5),0,1,0,English,Math,11.0,Passing,0
267,Chandler,Buzek,Male,12,0,31,98,33,15,35,1,0,0,0,45.25,100.0,17.22,31,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,Math,English,36.3,Failing,0
268,Harriott,Innocenti,Female,3,22,23,50,74,68,50,1,1,1,1,60.5,87.78,12.78,45,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Science,Math,12.37,Needs Improvement,0
269,Halette,Sibery,Female,12,5,16,3,80,37,4,0,1,0,0,31.0,97.22,8.89,21,Acceptable,Fail,Concerning,High (9-12),0,0,3,Science,Math,36.29,Failing,0
270,Raffarty,Petronis,Male,10,15,38,25,47,57,99,0,0,1,1,57.0,91.67,21.11,53,Excessive Absence,Pass,Exessive,High (9-12),0,1,2,It,Math,31.03,Passing,0
271,Syman,Gorler,Male,1,25,34,64,50,94,56,1,1,1,1,66.0,86.11,18.89,59,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,English,Science,19.53,Needs Improvement,0
272,Dorree,Scardifeild,Female,3,22,47,50,50,50,50,1,1,1,1,50.0,87.78,26.11,69,Excessive Absence,Pass,Exessive,Elementary (1-5),0,1,0,Math,Math,0.0,Passing,0
273,Seumas,Simonini,Male,12,7,3,59,34,71,3,1,0,1,0,41.75,96.11,1.67,10,Acceptable,Fail,Good,High (9-12),0,0,2,English,It,30.08,Failing,0
274,Dolores,Kondratenya,Female,5,7,30,50,50,50,51,1,1,1,1,50.25,96.11,16.67,37,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,It,Math,0.5,Passing,0
275,Neils,Isabell,Male,3,10,30,50,50,92,50,1,1,1,1,60.5,94.44,16.67,40,Excessive Tardiness,Pass,Exessive,Elementary (1-5),0,1,0,English,Math,21.0,Needs Improvement,0
276,Arlinda,Kovnot,Female,10,6,42,97,37,27,36,1,0,0,0,49.25,96.67,23.33,48,Excessive Tardiness,Fail,Exessive,High (9-12),0,1,3,Math,English,32.15,Failing,0
277,Gerry,Bhar,Female,11,25,26,69,79,43,68,1,1,0,1,64.75,86.11,14.44,51,Excessive Absence,Pass,Exessive,High (9-12),0,1,1,Science,English,15.33,Needs Improvement,0
278,Sigrid,Swafield,Female,12,17,35,87,91,57,50,1,1,1,1,71.25,90.56,19.44,52,Excessive Absence,Pass,Exessive,High (9-12),0,1,0,Science,It,20.76,Satisfactory,0
